DrawNumber,Ball1,Ball2,Ball3,Ball4,Ball5,MegaBall
600,7,11,26,30,53,14
601,1,38,42,55,56,34
602,7,12,13,19,22,10
603,9,12,30,36,55,15
604,5,17,22,26,55,38
605,7,15,30,33,56,22
606,19,32,33,41,48,12
607,4,13,35,41,47,44
608,3,12,18,25,52,21
609,13,15,20,25,44,37
610,5,8,17,19,41,21
611,38,42,43,48,53,12
612,7,26,27,40,43,10
613,4,17,26,46,56,25
614,3,5,40,45,49,17
615,8,9,31,37,44,38
616,14,18,27,31,42,7
617,12,13,27,48,50,30
618,24,28,36,50,53,29
619,3,22,31,48,54,9
620,19,32,37,45,52,41
621,19,24,35,44,51,26
622,8,28,37,53,55,26
623,4,21,46,53,54,26
624,16,31,43,46,56,22
625,20,24,27,31,47,15
626,6,11,39,46,47,26
627,2,14,26,32,41,32
628,4,8,11,22,30,4
629,14,24,32,45,49,17
630,39,40,47,53,55,32
631,4,19,24,32,54,5
632,8,9,43,44,54,27
633,3,5,15,43,51,11
634,8,9,14,38,44,36
635,5,14,25,47,49,36
636,11,17,25,36,42,13
637,10,22,36,50,53,39
638,8,14,22,39,50,44
639,1,22,33,43,52,36
640,1,3,12,19,20,28
641,1,20,22,29,41,35
642,5,14,16,39,51,34
643,19,24,34,45,51,40
644,17,29,36,53,55,26
645,2,16,23,29,32,46
646,2,16,19,35,52,17
647,11,13,20,30,42,3
648,9,13,17,18,56,2
649,9,21,36,38,55,13
650,11,17,28,32,50,33
651,2,7,23,38,40,40
652,8,23,29,30,53,7
653,9,18,19,26,40,38
654,12,13,15,41,42,37
655,6,16,24,34,36,30
656,21,25,26,50,51,22
657,14,23,43,44,54,39
658,1,6,15,27,46,39
659,22,23,28,49,52,2
660,1,12,14,25,35,38
661,13,24,39,51,52,44
662,2,9,41,48,51,37
663,9,32,34,43,52,4
664,6,13,14,31,36,36
665,9,30,35,39,49,36
666,13,28,32,41,52,16
667,2,25,35,38,42,34
668,14,15,43,46,48,21
669,14,35,41,42,51,23
670,7,15,27,28,31,35
671,16,19,39,42,44,38
672,5,33,34,47,52,18
673,6,39,45,46,48,36
674,2,7,17,29,47,40
675,10,21,23,41,55,9
676,14,24,32,43,44,21
677,5,27,38,42,55,41
678,3,18,19,30,34,3
679,10,15,22,52,53,12
680,1,22,52,53,56,45
681,2,11,22,51,52,46
682,10,30,44,46,48,44
683,2,17,22,32,51,35
684,21,27,46,52,55,14
685,11,12,26,31,33,27
686,10,16,19,27,48,25
687,10,14,16,29,40,6
688,3,13,16,39,54,32
689,1,8,13,27,41,45
690,6,19,29,33,37,31
691,1,22,29,44,52,39
692,2,11,19,21,34,38
693,3,11,12,19,33,30
694,23,25,30,45,50,8
695,22,25,33,36,48,40
696,2,4,21,39,51,29
697,1,9,10,35,46,9
698,2,17,20,27,28,7
699,3,11,12,14,21,25
700,13,16,19,53,55,2
701,4,15,29,43,56,29
702,2,12,18,28,31,3
703,18,29,38,43,47,7
704,25,36,37,40,51,20
705,1,9,23,27,33,24
706,21,28,41,45,55,24
707,1,27,28,35,40,6
708,24,37,44,50,56,35
709,26,32,35,43,52,10
710,11,18,37,46,55,45
711,2,27,31,39,40,23
712,10,12,26,46,50,23
713,9,15,24,28,31,17
714,15,16,20,39,40,26
715,4,25,34,43,44,45
716,10,15,24,38,50,19
717,14,39,47,48,53,29
718,16,22,38,39,48,42
719,2,4,13,17,36,15
720,18,25,36,42,51,22
721,4,11,22,48,50,42
722,5,13,26,35,45,32
723,5,24,37,47,52,6
724,9,20,21,48,49,7
725,15,20,24,36,44,6
726,9,16,24,40,43,35
727,5,23,38,39,54,3
728,12,27,29,32,34,34
729,4,8,10,14,51,31
730,7,12,24,36,48,27
731,2,4,9,15,42,13
732,3,29,34,42,49,29
733,9,18,21,37,55,33
734,23,30,36,39,48,34
735,9,13,26,30,35,33
736,5,20,38,41,52,20
737,5,17,31,36,56,46
738,6,11,20,32,44,38
739,9,15,21,26,45,25
740,4,9,12,16,46,44
741,12,14,16,31,50,9
742,11,15,17,29,46,16
743,7,34,49,54,55,34
